scenario,risk_continue,risk_early,risk_difference,risk_ratio,n_retained_clones,n_stays,use_raw_weight,bootstrap_requested,bootstrap_converged,risk_continue_ci_lower,risk_continue_ci_upper,risk_early_ci_lower,risk_early_ci_upper,risk_difference_ci_lower,risk_difference_ci_upper,risk_ratio_ci_lower,risk_ratio_ci_upper
primary_reference,0.42463280499571293,0.5016774911105465,0.07704468611483356,1.1814383750111144,5657,1827,False,,,,,,,,,,
primary_untruncated,0.4245648379022396,0.5018503932429724,0.07728555534073284,1.1820347528603596,5657,1827,True,,,,,,,,,,
lead_30_min,0.4206273334886441,0.49906894884068786,0.07844161535204375,1.1864872040089651,5604,1828,False,200.0,200.0,0.390184671132437,0.45792274590402016,0.47258838250204943,0.5252570567829825,0.042988186322798355,0.10489973616037523,1.0960151186596878,1.2584030967965127
lead_120_min,0.432673302862434,0.5044837508907836,0.07181044802834957,1.1659692140773965,5743,1826,False,200.0,200.0,0.4048092596230883,0.46518822144456384,0.4764560291340821,0.5376734400796135,0.044128261917526806,0.10388731707862761,1.1000125885637566,1.2471864347400927
first_eligible_grid_only,0.5128102324377732,0.5520103997917861,0.03920016735401288,1.0764418587508775,1230,1152,False,200.0,200.0,0.4845150822810686,0.5520428517469136,0.5178254626009646,0.6145405997747035,-0.011042394201628404,0.10102657023141967,0.9785805776094988,1.2076280197086735
ventilation_end_proxy,0.6042005604230941,0.6950051873323241,0.09080462690922997,1.1502888822970367,5657,1827,False,200.0,200.0,0.578428712997335,0.6336568388694035,0.6675046396367913,0.7193834188098648,0.06099902761364466,0.11871306417966238,1.0985037875917105,1.2014562663668886
subtype_AIS,0.4235024527641937,0.4867227170079864,0.06322026424379273,1.149279570475106,1828,575,False,200.0,200.0,0.3720646856408525,0.4755787947318475,0.43329356924024187,0.5408681978423283,0.00509810519806275,0.1207101862152892,1.0111746787915252,1.3246828768375594
subtype_ICH,0.3721225959416227,0.4746977193627256,0.10257512342110287,1.275648736571736,1133,383,False,200.0,200.0,0.3193094189058839,0.4397180197944569,0.4276407116149549,0.5582353003675451,0.03955908068231872,0.17679357229012804,1.0994970376014643,1.5004518328697973
subtype_SAH,0.39854762949119854,0.5658765096235564,0.16732888013235786,1.4198466324990477,623,212,False,200.0,200.0,0.3268174386079789,0.4884033965582817,0.49025487078834334,0.6789794342248969,0.07008531255776257,0.2764508025644737,1.1363539722513056,1.8119601647798447
subtype_TBI,0.48861187122836486,0.5525084882192729,0.06389661699090804,1.1307717244574362,2073,657,False,200.0,200.0,0.4378989885979546,0.5367750056496495,0.5107334229890698,0.605798078558593,0.014941983574904092,0.1313558359526957,1.0278284204323895,1.2943584078274761
