variable,level,smd_unweighted,smd_weighted,analysis
age,continuous,0.19701174288168857,0.020052455390216373,trajectory_dose_augmented
grid_hour,continuous,-0.2759622476153986,-0.08770601998999548,trajectory_dose_augmented
comorbidity_count,continuous,0.102676689452522,-0.02356421813413097,trajectory_dose_augmented
map_median_2h,continuous,-0.026119802673123707,0.0196147568776313,trajectory_dose_augmented
map_min_2h,continuous,-0.03287521370386563,0.024131565061406745,trajectory_dose_augmented
heart_rate,continuous,0.0050081715669781715,-0.0185181759724473,trajectory_dose_augmented
fio2,continuous,0.011061278002925999,-0.02443697157731918,trajectory_dose_augmented
peep,continuous,-0.2268613489146702,-0.10152529921089744,trajectory_dose_augmented
rass,continuous,-0.038280868634947014,0.040339947417768314,trajectory_dose_augmented
gcs_motor,continuous,-0.009187498555740038,0.05812574333243334,trajectory_dose_augmented
icp_latest,continuous,-0.0847981064660906,-0.01749663395711299,trajectory_dose_augmented
temperature_c,continuous,-0.06336530332512967,-0.049604597601904464,trajectory_dose_augmented
lactate,continuous,0.018731887225529043,-0.01824996042670487,trajectory_dose_augmented
creatinine,continuous,-0.005947593232209468,-0.03074378789243421,trajectory_dose_augmented
paco2,continuous,-0.026703724193532504,-0.005534646876529167,trajectory_dose_augmented
pao2_fio2,continuous,0.04724201078762693,0.04020253743281499,trajectory_dose_augmented
propofol_baseline_log_rate,continuous,0.12992229541099143,0.021226473110300584,trajectory_dose_augmented
midazolam_baseline_log_rate,continuous,-0.0797762433997401,-0.03521913610886692,trajectory_dose_augmented
dexmed_baseline_log_rate,continuous,-0.02057650249519098,-0.004869145456790123,trajectory_dose_augmented
delta_map_median_6h,continuous,0.04072122914177534,0.04880195542908465,trajectory_dose_augmented
delta_map_min_6h,continuous,0.04377806450906876,0.034641802917355274,trajectory_dose_augmented
delta_heart_rate_6h,continuous,0.019241785102385126,0.015070415536698072,trajectory_dose_augmented
delta_fio2_6h,continuous,-0.02776455240181013,-0.03434256042768061,trajectory_dose_augmented
delta_peep_6h,continuous,-0.036247353835944233,-0.031141503964590728,trajectory_dose_augmented
delta_rass_6h,continuous,-0.03141894070934249,-0.007783402346710168,trajectory_dose_augmented
delta_gcs_motor_6h,continuous,-0.005926236845475256,0.034601652422140264,trajectory_dose_augmented
delta_gcs_eye_6h,continuous,0.010050075489936429,0.04050344781114555,trajectory_dose_augmented
delta_gcs_verbal_6h,continuous,0.02430455120985689,0.025909058636365088,trajectory_dose_augmented
delta_icp_latest_6h,continuous,-0.01227031099170361,-0.01935788561425799,trajectory_dose_augmented
delta_neuro_measure_count_6h,continuous,-0.0041233149231065715,-0.010253045965311366,trajectory_dose_augmented
abi_subtype,AIS,-0.02150139799958509,-0.019082885062953244,trajectory_dose_augmented
abi_subtype,ICH,0.023221703946205575,0.026955718212334716,trajectory_dose_augmented
abi_subtype,SAH,0.00926094521331808,-0.012533264820917886,trajectory_dose_augmented
abi_subtype,TBI,-0.004555274133968937,0.003876796120194398,trajectory_dose_augmented
gender,F,0.05824767991014884,0.0004168962120316812,trajectory_dose_augmented
gender,M,-0.05824767991014884,-0.00041689621203122194,trajectory_dose_augmented
baseline_drug_count,1,-0.08564980660290832,-0.0007429595987844768,trajectory_dose_augmented
baseline_drug_count,2,0.08437959416600566,-0.0009207904725342812,trajectory_dose_augmented
baseline_drug_count,3,0.017098731107513785,0.017600540016051366,trajectory_dose_augmented
propofol_active,0,-0.1033002880706495,-0.03334315468569905,trajectory_dose_augmented
propofol_active,1,0.10330028807064935,0.03334315468569882,trajectory_dose_augmented
midazolam_active,0,0.044915291589023534,0.038579373051141445,trajectory_dose_augmented
midazolam_active,1,-0.04491529158902338,-0.0385793730511414,trajectory_dose_augmented
dexmed_active,0,0.017536072266460173,0.0029827346306352106,trajectory_dose_augmented
dexmed_active,1,-0.01753607226646021,-0.002982734630634878,trajectory_dose_augmented
vasopressor_observed,0,0.024895572731022046,0.030924683098063215,trajectory_dose_augmented
vasopressor_observed,1,-0.02489557273102224,-0.03092468309806328,trajectory_dose_augmented
opioid_observed,0,0.13810932278029558,0.015403842275952052,trajectory_dose_augmented
opioid_observed,1,-0.13810932278029572,-0.015403842275951941,trajectory_dose_augmented
diabetes,0,-0.0792023468722335,0.015988836598173167,trajectory_dose_augmented
diabetes,1,0.0792023468722337,-0.0159888365981731,trajectory_dose_augmented
ckd,0,-0.06600176943712349,0.008833598577688192,trajectory_dose_augmented
ckd,1,0.06600176943712355,-0.008833598577688102,trajectory_dose_augmented
chf,0,0.013516807758090636,0.02365435270786199,trajectory_dose_augmented
