variable,n_eligible_decisions,n_observed,percent_missing
delta_map_median_6h,9830,9728,1.0376398779247202
delta_map_min_6h,9830,9728,1.0376398779247202
delta_heart_rate_6h,9830,9823,0.07121057985757884
delta_fio2_6h,9830,9656,1.7700915564598168
delta_peep_6h,9830,9616,2.177009155645982
delta_rass_6h,9830,7047,28.311291963377418
delta_gcs_motor_6h,9830,9499,3.3672431332655135
delta_gcs_eye_6h,9830,9519,3.1637843336724316
delta_gcs_verbal_6h,9830,9517,3.1841302136317395
delta_icp_latest_6h,9830,1833,81.353001017294
delta_neuro_measure_count_6h,9830,9829,0.01017293997965412
propofol_baseline_rate,9830,8186,16.724313326551375
midazolam_baseline_rate,9830,947,90.36622583926754
dexmed_baseline_rate,9830,1213,87.66022380467955
