scenario,Analysis,risk_continue,risk_early,risk_difference,risk_ratio,n_retained_clones,n_stays,use_raw_weight,bootstrap_requested,bootstrap_converged,risk_continue_ci_lower,risk_continue_ci_upper,risk_early_ci_lower,risk_early_ci_upper,risk_difference_ci_lower,risk_difference_ci_upper,risk_ratio_ci_lower,risk_ratio_ci_upper
primary_reference,Primary repeated-trial analysis,0.4246328049957129,0.5016774911105465,0.0770446861148335,1.1814383750111144,5657,1827,False,,,0.3947313660020206,0.4589419668856674,0.4742777408932716,0.5351591878189348,0.0444226187799875,0.1095190137545906,1.0993090853217808,1.26936288925285
primary_untruncated,No weight truncation (point estimate),0.4245648379022396,0.5018503932429724,0.0772855553407328,1.1820347528603596,5657,1827,True,,,,,,,,,,
lead_30_min,Extubation lead threshold 30 min,0.4206273334886441,0.4990689488406878,0.0784416153520437,1.1864872040089651,5604,1828,False,200.0,200.0,0.390184671132437,0.4579227459040201,0.4725883825020494,0.5252570567829825,0.0429881863227983,0.1048997361603752,1.0960151186596878,1.2584030967965127
lead_120_min,Extubation lead threshold 120 min,0.432673302862434,0.5044837508907836,0.0718104480283495,1.1659692140773965,5743,1826,False,200.0,200.0,0.4048092596230883,0.4651882214445638,0.4764560291340821,0.5376734400796135,0.0441282619175268,0.1038873170786276,1.1000125885637566,1.2471864347400927
first_eligible_grid_only,First eligible decision per stay,0.5128102324377732,0.5520103997917861,0.0392001673540128,1.0764418587508775,1230,1152,False,200.0,200.0,0.4845150822810686,0.5520428517469136,0.5178254626009646,0.6145405997747035,-0.0110423942016284,0.1010265702314196,0.9785805776094988,1.2076280197086735
ventilation_end_proxy,Ventilation-end proxy outcome,0.6042005604230941,0.6950051873323241,0.0908046269092299,1.1502888822970367,5657,1827,False,200.0,200.0,0.578428712997335,0.6336568388694035,0.6675046396367913,0.7193834188098648,0.0609990276136446,0.1187130641796623,1.0985037875917103,1.2014562663668886
subtype_AIS,Acute ischemic stroke,0.4235024527641937,0.4867227170079864,0.0632202642437927,1.149279570475106,1828,575,False,200.0,200.0,0.3720646856408525,0.4755787947318475,0.4332935692402418,0.5408681978423283,0.0050981051980627,0.1207101862152892,1.0111746787915252,1.3246828768375594
subtype_ICH,Intracerebral hemorrhage,0.3721225959416227,0.4746977193627256,0.1025751234211028,1.275648736571736,1133,383,False,200.0,200.0,0.3193094189058839,0.4397180197944569,0.4276407116149549,0.5582353003675451,0.0395590806823187,0.176793572290128,1.0994970376014643,1.500451832869797
subtype_SAH,Subarachnoid hemorrhage,0.3985476294911985,0.5658765096235564,0.1673288801323578,1.4198466324990475,623,212,False,200.0,200.0,0.3268174386079789,0.4884033965582817,0.4902548707883433,0.6789794342248969,0.0700853125577625,0.2764508025644737,1.1363539722513056,1.811960164779845
subtype_TBI,Traumatic brain injury,0.4886118712283648,0.5525084882192729,0.063896616990908,1.1307717244574362,2073,657,False,200.0,200.0,0.4378989885979546,0.5367750056496495,0.5107334229890698,0.605798078558593,0.014941983574904,0.1313558359526957,1.0278284204323895,1.294358407827476
