Predecision variable,Eligible decisions,Observed,Missing
6-h change in MAP median,"9,830","9,728",1.0%
6-h change in MAP minimum,"9,830","9,728",1.0%
6-h change in heart rate,"9,830","9,823",0.1%
6-h change in FiO2,"9,830","9,656",1.8%
6-h change in PEEP,"9,830","9,616",2.2%
6-h change in RASS,"9,830","7,047",28.3%
6-h change in GCS motor,"9,830","9,499",3.4%
6-h change in GCS eye,"9,830","9,519",3.2%
6-h change in GCS verbal,"9,830","9,517",3.2%
6-h change in intracranial pressure,"9,830","1,833",81.4%
6-h change in neurologic measurement count,"9,830","9,829",0.0%
Propofol baseline rate,"9,830","8,186",16.7%
Midazolam baseline rate,"9,830",947,90.4%
Dexmedetomidine baseline rate,"9,830","1,213",87.7%
